魔法師	Wizard	魔法使い	마법사
復仇女神	Nemesis	ネメシス	네메시스
狂戰士	Berserk	ベルセルク	광전사
黑暗	Darkness	ダークネス	암흑
歐米伽	Omega	オメガ	오메가
量子雷射	Quantum Laser	クアンタムレーザー	양자 레이저
死亡風暴	Death Storm	デスストーム	죽음의 폭풍
審判者	Inquisitor	インクィジター	이단심문관
巨型海嘯	Mega Tsunami	メガツナミ	메가 해일
零度新星	Zero Nova	ゼロノヴァ	제로 노바
閃擊	Blitz	ブリッツ	전격
亞巴頓	Abaddon	アバドン	아바돈
均衡	Equilibrium	イクイリブリウム	균형
弧光	Arc	アーク	아크
巨力衝擊	Giant Impact	ジャイアントインパクト	거대 충돌
封鎖	Lockdown	ロックダウン	봉쇄
幻覺	Hallucination	ハルシネーション	환각
昇華	Ascension	アセンション	승천
核心	Core	コア	코어
宇宙	Cosmos	コスモス	코스모스
超載	Overload	オーバーロード	과부하
終結者	Terminator	ターミネーター	터미네이터
